EEID,Full Name,Job Title,Department,Business Unit,Gender,Ethnicity,Age,Hire Date,Annual Salary,Bonus %,Country,City,Exit Date,,
E00005,RILEY WASHINGTON,Director,Sales,Speciality Products,Female,Caucasian,39,29-04-2007,"$1,71,487 ",23% ,United States,Phoenix,,,
E00013,    ELENA VANG,Analyst,Finance,Corporate,Female,Asian,52,19-02-2019,"$55,859 ",0% ,China,Beijing,,,
E00022,ELENA HER,Account Representative,Sales,Manufacturing,Female,Asian,62,17-09-2006,"$64,669 ",0% ,China,Chongqing,,,
E00023,     GABRIEL JOSEPH,Director,Engineering,Manufacturing,Male,Caucasian,52,28-10-2006,"$1,87,992 ",28% ,United States,Miami,,,
E00034,CAROLINE HERRERA,Sr. Manger,Marketing,Manufacturing,Female,Latino,45,19-08-2004,"$1,21,065 ",15% ,Brazil,Rio de Janerio,,,
E00035, ,Cloud Infrastructure Architect,IT,Manufacturing,Female,Latino,43,13-03-2009,"$62,335 ",0% ,Brazil,Manaus,,,
E00044,SCARLETT JENKINS,Vice President,IT,Research & Development,Female,Caucasian,53,09-11-2011,"$1,98,473 ",32% ,United States,Miami,,,
E00078,EVA GARCIA,HRIS Analyst,Human Resources,Corporate,Female,Latino,31,11-04-2021,"$72,235 ",0% ,Brazil,Manaus,,,
E00085,ISLA WONG,Vice President,Accounting,Corporate,Female,Asian,56,16-03-2014,"$1,90,815 ",40% ,United States,Austin,,,
E00089,SOFIA YOON,Sr. Manger,Human Resources,Research & Development,Female,Asian,37,17-01-2011,"$1,31,353 ",11% ,China,Shanghai,,,
E00091,EMILIA CHU,Analyst II,Finance,Manufacturing,Female,Asian,48,24-06-2003,"$55,760 ",0% ,United States,Austin,,,
E00096,     PEYTON CRUZ,Development Engineer,Engineering,Manufacturing,Female,Latino,30,26-05-2016,"$91,134 ",0% ,Brazil,Sao Paulo,,,
E00099,BROOKLYN SALAZAR,IT Systems Architect,IT,Manufacturing,Female,Latino,44,01-03-2011,"$82,462 ",0% ,United States,Austin,,,
E00102,RILEY ROJAS,Network Architect,IT,Speciality Products,Female,Latino,36,21-01-2021,"$90,333 ",0% ,Brazil,Rio de Janerio,,,
E00103,NORA PARK,Director,Accounting,Speciality Products,Female,Asian,29,28-06-2017,"$1,97,649 ",20% ,United States,Columbus,,,
E00105,ISLA ESPINOZA,Manager,Accounting,Speciality Products,Female,Latino,38,16-11-2021,"$1,09,812 ",9% ,Brazil,Manaus,,,
E00116,MADELYN MEHTA,Analyst,Sales,Speciality Products,Female,Asian,64,28-01-2005,"$55,369 ",0% ,United States,Phoenix,,,
E00119,JACK MALDONADO,Director,Engineering,Research & Development,Male,Latino,31,26-08-2020,"$1,89,290 ",22% ,Brazil,Sao Paulo,25-09-2020,,
E00126,ISABELLA SCOTT,Network Administrator,IT,Research & Development,Female,Caucasian,58,26-04-2016,"$72,045 ",0% ,United States,Phoenix,,,
E00128,EVERLEIGH ESPINOZA,Director,Human Resources,Manufacturing,Female,Latino,54,22-01-2018,"$1,76,294 ",28% ,United States,Austin,,,
